id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
723195,Shringaar,Released,13 Dec 2013,Drama,Hindi,Kumaar Aadarsh,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,UV Talkies,"","",""
542575,Mai...,Released,1 Feb 2013,Drama,Hindi,Mahesh Kodiyal,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Rhythm D'vine Entertainment Pvt Ltd|  Alliance Entertainment Pvt. Ltd| Vishveshvara Ventures,T-Series,,""
510232,99,{},15 May 2009,"Comedy, Drama",Hindi,Raj Nidimoru,C,{},Not Available.,CIL/2/40/2009,Not Available.,B,0.0,People Pictures,Saregama-HMV,"",""
542615,Luv U Soniyo,Released,26 Jul 2013,"Comedy, Romance",Hindi,Joe Rajan,C,{},22 Jul 2013,DIL/1/67/2013,144 Minutes,U,0.0,Harvey India Productions|Odyssey Corporation India Limited,T-Series,"",""
588978,Filmistaan,Released,6 Jun 2014,Drama,Hindi,Nitin Kakkar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Satellite Pictures Pvt. Ltd.|  Shringar Films Pvt Ltd| Utv Motion Pictures,Junglee Music,"",""
551005,Yeh Khula Aasmaan,Completed,25 May 2012,"Musical, Family Drama, Motivational",Hindi,Gitanjali Sinha,C,{},18 May 2012,Not Available.,Not Available.,Not Available.,2443.62,Gitanjali Creations,SAGA Music,"",""
54610,Zinda,{},12 Jan 2006,{},Hindi,Sanjay Gupta,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,White Feather Films,T-Series,,""
504756,Mudh Mudh Ke Na Dekkh Mudh Mudh Ke,Under Production,2011,{},Hindi,Seema,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Shree Jagannath Entertainment|Shree Ashtavinayak Cinevision Ltd,"",,""
533536,Krantiveer-The Revolution,{},25 Jun 2010,Social,Hindi,Mehul Kumar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,White City Entertainment Pvt Ltd,T-Series,"",""
509694,Dansh,{},2 Sep 2005,Drama,Hindi,Kanika Verma,C,{},Not Available.,CIL/3/71/2005,Not Available.,A,0.0,Talking Pictures,"","",""
508007,Matrubhoomi,{},8 Jul 2005,Social,Hindi,Manish Jha,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
534658,Hazaar Chaurasi Ki Maa,{},13 Mar 1998,Drama,Hindi,Suresh Babu Malge,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Mount Mary Film Prod ,"","",""
201641,Satya,{},7 Mar 1998,Crime,Hindi,Ram Gopal Varma,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Varma Corporation Ltd ,Venus Records & Tapes,"",""
